source_path,ean,ext,size,mtime,match_score,target_path
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\TOPS\TOPS\Ruffle Top\Mehandi Maroon 7.webp,8903289097988,.webp,288228,1762688261.4676845,0.4,D:\shopping-admin\public\new-images\8903289097988.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kurti Pant\Viscose Kurti Pant 599\Caramel Custard 6.webp,8903289098183,.webp,135700,1762688228.317722,0.4,D:\shopping-admin\public\new-images\8903289098183.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Leggings\Cotton Leggines\Pool Side 3.webp,8903289098381,.webp,41736,1762688224.7045925,0.4,D:\shopping-admin\public\new-images\8903289098381.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\T- Shirts\Slim fit\V-Neck Tee\Grape Vine 6.webp,8903289098589,.webp,190292,1762688252.0398054,0.4,D:\shopping-admin\public\new-images\8903289098589.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Navy Ribbon 3.webp,8903289098688,.webp,92312,1762688240.4662502,0.4,D:\shopping-admin\public\new-images\8903289098688.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\lounge Ware\Bottoms\Night Pants\Cherry berry 6.webp,8903289103733,.webp,85342,1762688242.1079493,0.4,D:\shopping-admin\public\new-images\8903289103733.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\TOPS\Hoodies\Sweat Shirt\Black 1.webp,8903289105690,.webp,98380,1762688253.685619,0.2857142857142857,D:\shopping-admin\public\new-images\8903289105690.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura shorts - Dark Chocolate 2.webp,8903289110250,.webp,70348,1762688223.1268437,0.2857142857142857,D:\shopping-admin\public\new-images\8903289110250.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Beauty Berry 6.webp,8903289110380,.webp,112132,1762688237.7695844,0.42857142857142855,D:\shopping-admin\public\new-images\8903289110380.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose 78 High AnkleCropped Leggings\Sand Storm 6.webp,8903289110519,.webp,169318,1762688237.1539931,0.3333333333333333,D:\shopping-admin\public\new-images\8903289110519.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Mulberry 5.webp,8903289110625,.webp,109138,1762688238.5900235,0.3333333333333333,D:\shopping-admin\public\new-images\8903289110625.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Canary Bird 6.webp,8903289110748,.webp,95702,1762688239.997846,0.3333333333333333,D:\shopping-admin\public\new-images\8903289110748.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose 78 High AnkleCropped Leggings\Steel Grey 7.webp,8903289110861,.webp,161098,1762688237.3310297,0.3333333333333333,D:\shopping-admin\public\new-images\8903289110861.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose 78 High AnkleCropped Leggings\Wild Orchid 7.jpg,8903289110984,.jpg,217658,1762688237.6819763,0.3333333333333333,D:\shopping-admin\public\new-images\8903289110984.jpg
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Rose Syrup 5.webp,8903289111226,.webp,102484,1762688239.1293676,0.42857142857142855,D:\shopping-admin\public\new-images\8903289111226.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Olive Green 5.webp,8903289111349,.webp,209940,1762688238.7088425,0.42857142857142855,D:\shopping-admin\public\new-images\8903289111349.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Swimming Pool 6.webp,8903289111462,.webp,141136,1762688241.3083074,0.3333333333333333,D:\shopping-admin\public\new-images\8903289111462.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Passion Fruit 6.webp,8903289111585,.webp,109734,1762688240.6937134,0.3333333333333333,D:\shopping-admin\public\new-images\8903289111585.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose 78 High AnkleCropped Leggings\Honey Mustard.webp,8903289111707,.webp,26656,1762688236.7512636,0.4,D:\shopping-admin\public\new-images\8903289111707.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Bumble Bee 6.webp,8903289112674,.webp,105092,1762688237.9904048,0.3333333333333333,D:\shopping-admin\public\new-images\8903289112674.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Butter Scotch 3.webp,8903289117013,.webp,225600,1762688230.1025665,0.42857142857142855,D:\shopping-admin\public\new-images\8903289117013.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Blue Ocean 6.webp,8903289118027,.webp,179288,1762688239.883278,0.3333333333333333,D:\shopping-admin\public\new-images\8903289118027.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Candle Light 6.webp,8903289118126,.webp,100376,1762688238.085447,0.42857142857142855,D:\shopping-admin\public\new-images\8903289118126.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Moss Plant 4.webp,8903289118225,.webp,204118,1762688238.540574,0.42857142857142855,D:\shopping-admin\public\new-images\8903289118225.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Pistachio 5.webp,8903289118324,.webp,134982,1762688238.9401321,0.3333333333333333,D:\shopping-admin\public\new-images\8903289118324.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Shadow Grey 6.webp,8903289118423,.webp,112354,1762688241.1110203,0.3333333333333333,D:\shopping-admin\public\new-images\8903289118423.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Vanilla.webp,8903289118522,.webp,18776,1762688239.5433636,0.4,D:\shopping-admin\public\new-images\8903289118522.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Wheat Grain 6.webp,8903289118621,.webp,111902,1762688241.5198915,0.3333333333333333,D:\shopping-admin\public\new-images\8903289118621.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Shimmer 749\Diamond 5.webp,8903289119987,.webp,177638,1762688235.8960063,0.3333333333333333,D:\shopping-admin\public\new-images\8903289119987.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Shimmer 749\Navy Gloss 5.webp,8903289120280,.webp,157296,1762688236.0978653,0.5,D:\shopping-admin\public\new-images\8903289120280.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Shapers\Straight Fit Saree Shaper -- 799\Gold Dust.webp,8903289120389,.webp,28632,1762688248.691334,0.5,D:\shopping-admin\public\new-images\8903289120389.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Shimmer 749\Valentine 5.webp,8903289120488,.webp,146044,1762688236.3378136,0.4,D:\shopping-admin\public\new-images\8903289120488.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Shimmer 749\Soul Gem 5.webp,8903289120587,.webp,173614,1762688236.235013,0.5,D:\shopping-admin\public\new-images\8903289120587.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Shimmer 749\Glam Pink 5.webp,8903289120686,.webp,209410,1762688235.9377453,0.5,D:\shopping-admin\public\new-images\8903289120686.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Shimmer 749\Red Velvet 5.webp,8903289120785,.webp,184616,1762688236.1947453,0.5,D:\shopping-admin\public\new-images\8903289120785.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\lounge Ware\Bottoms\Night Shorts\Light Grey 6.webp,8903289122970,.webp,186106,1762688243.2121167,0.2857142857142857,D:\shopping-admin\public\new-images\8903289122970.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\lounge Ware\Bottoms\Night Shorts\Black 5.webp,8903289123151,.webp,62620,1762688243.0051084,0.2857142857142857,D:\shopping-admin\public\new-images\8903289123151.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura Shorts - Pearl white 1.webp,8903289123274,.webp,45178,1762688223.2926617,0.42857142857142855,D:\shopping-admin\public\new-images\8903289123274.webp
